Level,HEX,L,C,H,Mode
C10,#001A4A,10.7402,35.4561,291.8524,Light
C9,#052464,16.6376,43.7308,293.0443,Light
C8,#073896,27.0017,60.5458,293.8723,Light
C7,#034DCC,37.3557,77.4608,294.2739,Light
C6,#005AEB,43.223,86.0354,294.1867,Light
C5,#1272F4,50.2624,76.0098,288.4644,Light
C4,#6096FA,62.6771,56.4412,282.4173,Light
C3,#9EBEFB,76.6967,34.0619,276.8495,Light
C2,#D0DFFC,88.551,15.604,272.5654,Light
C1,#E8F0FE,94.4698,7.7996,270.369,Light
C10,#E7EFFE,94.2946,7.9533,270.2263,Dark
C9,#C9DBFC,87.0937,17.973,272.2188,Dark
C8,#8CB3FA,72.7936,39.3646,277.0912,Dark
C7,#488AF4,58.0264,61.0545,283.0371,Dark
C6,#2370EB,49.4241,71.969,288.2498,Dark
C5,#2663D5,44.4278,67.9296,289.5735,Dark
C4,#214DAC,35.2586,59.1509,290.8205,Dark
C3,#153680,24.6954,48.8106,291.7515,Dark
C2,#07235C,15.5172,40.086,292.1277,Dark
C1,#00194B,10.5031,36.1547,291.7098,Dark
